address,Overview,TokenTracker
0xcaac156f6ecff8e45482ad5aaa1f57dfb316c82c,Uniswap V2: KEVIN,Uniswap V2 (UNI-V2)
0x2f7896984a19d6860be6f18ccf3e0de7365f28e1,Uniswap V2: FLZ,Uniswap V2 (UNI-V2)
0x5cd136e8197be513b06d39730dc674b1e0f6b7da,Uniswap V2: KIRO,Uniswap V2 (UNI-V2)
0xf4ad61db72f114be877e87d62dc5e7bd52df4d9b,Uniswap V3: LDO,
0x8f1c582b85259f7bbdb8c093f58268131a4ecd87,Uniswap V2: DGCL 4,Uniswap V2 (UNI-V2)
0x9e588733b77abd51879f391fce7beb6a1de7bdbd,Uniswap V3: RAINI,
0xb8ec4eb95d104753747bc689e6e997a637245bbd,Uniswap V2: SHIH 4,Uniswap V2 (UNI-V2)
0xe6e14be906c1f1b438da2010b38beca14b387231,Uniswap V3: MIM-USDT 2,
0x524847c615639e76fe7d0fe0b16be8c4eac9cf3c,Uniswap V2: BUSD-USDC,Uniswap BUSD/USDC LP (UNI-V2)
0x5b97b125cf8af96834f2d08c8f1291bd47724939,Uniswap V3: SAND,
0x45b6ffb13e5206dafe2cc8780e4ddc0e32496265,SushiSwap: PERC,SushiSwap LP Token (SLP)
0x8867f20c1c63baccec7617626254a060eeb0e61e,Uniswap V2: PHA 4,Uniswap V2 (UNI-V2)
0x2b370c11b6b66a1e6b743f24aa67991801ec309e,Uniswap V2: AVS 2,Uniswap V2 (UNI-V2)
0xe8b9a3d581cd70e8c18f8842f23327d2d24e31f1,Uniswap V2: TDBC20,Uniswap V2 (UNI-V2)
0x3b685307c8611afb2a9e83ebc8743dc20480716e,Uniswap V3: FTM 2,
0x66cab8b4acc7d125d2b5683392d4f5614093dbf0,Uniswap V2: REVV-PROS,Uniswap V2 (UNI-V2)
0x6a08e2f7eacbf089e15e892b663394d48a97345f,Uniswap V2: BOOST2,Uniswap V2 (UNI-V2)
0xf13ca437bc68e5b0fea2a6ec877664d1ad40c2c6,Uniswap V2: HWC,Uniswap V2 (UNI-V2)
0xde68ad8502874a7d5dd1758f7b0a7831f142b78a,Uniswap V2: DIP,Uniswap ETH/DIP LP (UNI-V2)
0x477fa5406598f8eb1945291867e1654c4d931659,Uniswap V2: cUSDC,Uniswap cUSDC/ETH LP (UNI-V2)
0x836d898e7941c2d1845041c2f7fbc57633eb0b3a,,Safeswap LPs (SFS-LP)
0x650e8b9d20293a276f76be24da4ce25f2d0090fb,Uniswap V2: USDC-FMTA,Uniswap V2 (UNI-V2)
0x102efb11d588fa03dfc9fb5e0894dd241839d3f8,Balancer: BAL/WBTC/ETH 33.33/33.33/33.33,Balancer Pool Token (BPT)
0x473ccdec83b7125a4f52aa6f8699026fcb878ee8,,Kollateralized xKINE (kXKINE)
0xa219aad740f88470c59a3ddbaf6ded12e7c3fb76,Uniswap V2: BigSB-USDT,Uniswap V2 (UNI-V2)
0x9fae36a18ef8ac2b43186ade5e2b07403dc742b1,Uniswap V2: SYN-FRAX,Uniswap SYN/FRAX LP (UNI-V2)
0xf841fef1d7fcf4306a0a0183754f9e9427e28128,Uniswap V2: TOWER-ATRI,Uniswap V2 (UNI-V2)
0xb76bcf6b873cbd749854a90d477e6fe1fcbe86a6,Uniswap V2: USDC-UDO,Uniswap USDC/UDO LP (UNI-V2)
0x12d6867fa648d269835cf69b49f125147754b54d,Uniswap V3: USDC-UST 4,
0xd5c5e3ca5f162165a6eff096156ec70f77f3a491,SushiSwap: RBIS,SushiSwap LP Token (SLP)
0x6832a060135e3005834b6306e34d67093b683c46,Uniswap V2: MM-USDC,Uniswap V2 (UNI-V2)
0x52c980904012fc07ba5eab8b41700726dba955f3,Uniswap V2: MEISHU,Uniswap V2 (UNI-V2)
0x3b3d4eefdc603b232907a7f3d0ed1eea5c62b5f7,Uniswap V2: STAKE,Uniswap STAKE/ETH LP (UNI-V2)
0x9e5bfb074aa3a90daf84484f9e099ad39d64d578,Uniswap V3: CUBE,
0x280ab9403372be0371313a9ddd9222b5590dbfef,Uniswap V2: JSHIBA,Uniswap V2 (UNI-V2)
0x22157a7fd6f2a8ee8df4621b52b8febe83934714,,DEGENSwap-LP (DEGEN-LP)
0xb6694aeaaf22abba85c481b67551da9e073714ea,Uniswap V2: USDC-CW,Uniswap V2 (UNI-V2)
0xd11ad84d720a5e7fa11c8412af6c1caa815a436d,Uniswap V2: DVG 6,Uniswap V2 (UNI-V2)
0xd3bf46376bc1f497020e2ed58e1e62f940a09fad,,CRO Defi Swap (CRO-SWAP)
0x784963e8161396228fd430dab1fc52608a0a81a2,Uniswap V2: MVC 7,Uniswap V2 (UNI-V2)
0x68f73e2180024db5b54e0e119d4f5128953f9417,Uniswap V3: MATIC-USDT 2,
0xbd402a0cf18148389c6f10b6e67aea915c3960ec,,OrionPool V2 (UNI-V2)
0xbc8b1f78ff5a0baf9945e145832ad79c494d4cf6,Balancer: APY/USDC 80/20,Balancer Pool Token (BPT)
0xebd754bbbf9b4b6ea9535bd041044e8e5aacc498,Uniswap V2: FREE 13,Uniswap V2 (UNI-V2)
0xc42a6cefc90c6140aaed98c627edbbe495e111f9,SushiSwap: COMMA,SushiSwap LP Token (SLP)
0x15e470f37621b6a635d32c3d8473a578b5ec0d2b,Uniswap V2: USDC-ONIGIRI,Uniswap V2 (UNI-V2)
0x2c51eaa1bcc7b013c3f1d5985cdcb3c56dc3fbc1,SushiSwap: BANK 2,SushiSwap BANK/ETH LP (SLP)
0x7fb02d104a768433a901a27621535151871019e0,Uniswap V2: YFS 18,Uniswap V2 (UNI-V2)
0xa22a11d16187c2833b6067c1a666e6fa9317836f,Uniswap V2: CHONK,Uniswap V2 (UNI-V2)
0x3eb8224923774f668d6e722cdbf8b0f4e46dae38,Uniswap V3: iZi,
0x4214290310264a27b0ba8cff02b4c592d0234aa1,Uniswap V2: RFOX,Uniswap V2 (UNI-V2)
0x73fba741db9331a5c723c071cdb6b1dbcfadcf78,Uniswap V2: LETSGO 2,Uniswap V2 (UNI-V2)
0x703b120f15ab77b986a24c6f9262364d02f9432f,,ShibaSwap LP Token (SSLP)
0x8df51a9714ae6357a5b829cc8d677b43d7e8bd53,Bancor: Converter 554,
0x65f53a8b88cdace856a2b1813f05f3e876e4f36f,,Coinbase Compound Dai (CB-CR-COM...)
0x5b272ce3e225b019a3fbd968206824b24c674344,Uniswap V2: MCHC,Uniswap V2 (UNI-V2)
0xefc73f21bb4645ea4cb1f1b5a674985c590c4070,Uniswap V3: XFT,
0xcd6bcca48069f8588780dfa274960f15685aee0e,Uniswap V2: ⚗️,Uniswap V2 (UNI-V2)
0xd4192ee224e111dc39098f93e5d62f9469d8842c,Uniswap V2: DBS,Uniswap V2 (UNI-V2)
0xf39c29d8f6851d87c40c83b61078eb7384f7cb51,,Token Migration Pool (Migrator-...)
0xfa5562729fdc3ed3a52c3aab2e12bd504fd24991,Uniswap V2: AVG 2,Uniswap V2 (UNI-V2)
0x64a8fd7bc5d19cf79feb15041c623d81d11cee95,Uniswap V2: $WAGMI 2,Uniswap V2 (UNI-V2)
0xad1d73d9d8c5126e37832cc593a3636abb471acb,Uniswap V2: FEVR 2,Uniswap V2 (UNI-V2)
0xa2f987a546d4cd1c607ee8141276876c26b72bdf,Anchor Protocol: AnchorVault,
0x291c69fdaebd3cbe953843da243f8605a766a268,Uniswap V2: TEL,Uniswap TEL/ETH LP (UNI-V2)
0x94b86ca6f7a495930fe7f552eb9e4cbb5ef2b736,SushiSwap: ICE,SushiSwap ETH/ICE LP (SLP)
0xc65679db1262acb60ee9dcab60a2d376db56d8cd,Uniswap V2: FLURRY 2,Uniswap V2 (UNI-V2)
0x97d9877ff71e514864f7bfc37abda73d13245f55,,CRO Defi Swap (CRO-SWAP)
0x613c836df6695c10f0f4900528b6931441ac5d5a,SushiSwap: BOND,SushiSwap BOND/ETH LP (SLP)
0xeaadde1e14c587a7fb4ba78ea78109bb32975f1e,SushiSwap: OOKI,SushiSwap LP Token (SLP)
0x96f5b7c2be10dc7de02fa8858a8f1bd19c2fa72a,SushiSwap: DAO,SushiSwap LP Token (SLP)
0x7c66550c9c730b6fdd4c03bc2e73c5462c5f7acc,Kyber: Contract 2,
0x381fe4eb128db1621647ca00965da3f9e09f4fac,Uniswap V3: ELON,
0x689d2ee154633ae19d61a8570c09248dcbd0ed04,Uniswap V2: CWEB-USDT,Uniswap V2 (UNI-V2)
0xa1181481beb2dc5de0daf2c85392d81c704bf75d,SushiSwap: ENS,SushiSwap ETH/ENS LP (SLP)
0x83a02859886fa12619a95b0b56794a7186598619,Uniswap V2: BlueSparrow,Uniswap V2 (UNI-V2)
0x1e11fcab5bd387bc783f3dd03b379402ee2f9e06,Uniswap V2: ZERO 6,Uniswap V2 (UNI-V2)
0x367e2d443988e4b222fbfdafdb35eeb7dda9fbb7,Uniswap V2: DEUS 9,Uniswap V2 (UNI-V2)
0x43ae24960e5534731fc831386c07755a2dc33d47,Uniswap V2: SNX,Uniswap SNX/ETH LP (UNI-V2)
0xfd0a40bc83c5fae4203dec7e5929b446b07d1c76,Uniswap V2: FRAX 4,Uniswap FRAX/ETH LP (UNI-V2)
0x60c6a17b007bd208d70b43229f2dc885b86b77fc,Uniswap V2: SWEEP 2,Uniswap V2 (UNI-V2)
0xa0f38f31531865ab37f1a0fe98cd4db9a79b2f1f,Uniswap V2: RBI 2,Uniswap V2 (UNI-V2)
0x4858411a69af3351ed7d448a0d65c6146c11c218,Uniswap V3: XCHF,
0xa886576fed10723401386697aadf777e1d4bca05,Uniswap V2: GAINS 6,Uniswap V2 (UNI-V2)
0x286eb8405231a2201fcb75b6e33098a546216c86,Uniswap V3: T 2,
0x454f11d58e27858926d7a4ece8bfea2c33e97b13,Uniswap V2: LDO,Uniswap LDO/ETH LP (UNI-V2)
0x9572e4c0c7834f39b5b8dff95f211d79f92d7f23,Uniswap V2: SENATE,Uniswap V2 (UNI-V2)
0xad9f77a954f85e993543635e234a5132a3eebb5a,Uniswap V2: SatoshiNakamoto,Uniswap V2 (UNI-V2)
0x880715a29b569cb44295a9fa05c8dd1b4fff33b4,Uniswap V2: NAO-USDT,Uniswap V2 (UNI-V2)
0x45ecadc95216a3dab2bd37defde2ca805dfac277,,BXH Swap LP Token (SLP)
0x811f8c60ee1805db7ece0fa3c7b064feba887053,Uniswap V2: PAPER 3,Uniswap V2 (UNI-V2)
0x18cd890f4e23422dc4aa8c2d6e0bd3f3bd8873d8,SushiSwap: IMX,SushiSwap LP Token (SLP)
0xbb2e5c2ff298fd96e166f90c8abacaf714df14f8,Uniswap V3: DAI-FEI,
0x34b8487fc2912c486b04d1436b07f19f7730cd43,Uniswap V3: POLK,
0x6094367ea57ff4f545e2672e024393d82a1d3f28,Uniswap V2: UST-mVIXY,Uniswap V2 (UNI-V2)
0x281df7fc89294c84afa2a21ffee8f6807f9c9226,SushiSwap: BFC,SushiSwap BFC/ETH LP (SLP)
0x13a73cd487c8baff21fef83d5bb5c9c92f4a1e41,Uniswap V2: SODA20,Uniswap V2 (UNI-V2)
0x87051936dc0669460951d612fbbe93df88942229,Uniswap V2: PATH 4,Uniswap V2 (UNI-V2)
0xf3033c8d381f16d9d466b0517e6ccced0f493fb6,,ShibaSwap LP Token (SSLP)
0x786e67fec4fc0537630d4b91ac222cd95a1e8a72,Uniswap V2: DEKU,Uniswap V2 (UNI-V2)
0xec5409816efe7151b809c1214b4780131d5f251b,Uniswap V2: BSL,Uniswap V2 (UNI-V2)
0xf7dde178fabe8386ade62d584019326a203b5394,Balancer: RLY/USDC 10/90,Balancer Pool Token (BPT)
0xfc0dd985f6de9c2322ebd97c3422b0857c4d78c7,Uniswap V2: ARMOR-DAI,Uniswap ARMOR/DAI LP (UNI-V2)
0x5fa9569b0ed6aa01e234468e6a15b77988b950df,Uniswap V2: BLZ-USDC,Uniswap BLZ/USDC LP (UNI-V2)
0x3cfaa1596777cad9f5004f9a0c443d912e262243,,Curve.fi Factory Plain Pool: Meta ... (mEUR-f)
0xc5be99a02c6857f9eac67bbce58df5572498f40c,Uniswap V2: AMPL,Uniswap ETH/AMPL LP (UNI-V2)
0xfaa318479b7755b2dbfdd34dc306cb28b420ad12,Uniswap V3: UNI 2,
0x203081a3a5dac177cf9cdddfd0198308a1f9c0be,Uniswap V2: FF 10,Uniswap V2 (UNI-V2)
0x6033368e4a402605294c91cf5c03d72bd96e7d8d,Uniswap V2: X2Y2,Uniswap V2 (UNI-V2)
0x59c2b713c3c3a49f554207946076aa4bea9359ba,Uniswap V2: AsunaInu,Uniswap V2 (UNI-V2)
0xc9adb4c2ab008748b572f2f65b780aab69cc336e,Uniswap V2: NKRI,Uniswap V2 (UNI-V2)
0xd11a3edac587faa6bd870683114f5aa08499f187,,Wrapped Bear Bucks (wBEAR)
0xfc643b33fe86f405f3ee30ec133a16a73521e3e7,Uniswap V2: PROMOINU,Uniswap V2 (UNI-V2)
0x80142add3a597b1ed1de392a56b2cef3d8302797,,Yield FYUSDC Mar 22 LP Token (FYUSDC220...)
0xd8de6af55f618a7bc69835d55ddc6582220c36c0,Uniswap V3: DYDX 2,
0xfa7b9ad60304119f59b172ef78b98d50cb9a5c98,Bancor: Converter 553,
0x72075636be2603b91be1cda70fab6ef21ca86989,SushiSwap: POWR,SushiSwap POWR/ETH LP (SLP)
0xab659dee3030602c1af8c29d146facd4aed6ec85,Uniswap V2: GHST 2,Uniswap GHST/ETH LP (UNI-V2)
0x8ae720a71622e824f576b4a8c03031066548a3b1,Uniswap V2: RAI 4,Uniswap V2 (UNI-V2)
0xa961ba3daa48376d3f6d7d6420be34c3a11d232e,Uniswap V3: BANANA 2,
0x670c0f67a4dc05b6d482c3ddaf0bcb8a20cdc304,Uniswap V2: LKR 5,Uniswap V2 (UNI-V2)
0x27182842e098f60e3d576794a5bffb0777e025d3,,Euler Protocol
0x16b70f44719b227278a2dc1122e8106cc929ecd1,Uniswap V3: LUNA,
0xa7af8228cba573bce6c1214501b3cf8db9f8a8fe,Uniswap V2: SAITOKI,Uniswap V2 (UNI-V2)
0xbf452277b8af4084fb8a0472ec808f2ded51f1c1,Uniswap V2: SLP,Uniswap V2 (UNI-V2)
0x61eb53ee427ab4e007d78a9134aacb3101a2dc23,SushiSwap: FXS,SushiSwap FXS/ETH LP (SLP)
0x8c729123bbae7219a989365d5ea046a5e64264f5,Uniswap V2: IMT 4,Uniswap V2 (UNI-V2)
0x8911fce375a8414b1b578be66ee691a8d2d4dbf7,SushiSwap: NDX,SushiSwap NDX/ETH LP (SLP)
0x1cd926f3e12f7b6c2833fbe7277ac53d529a794e,Uniswap V2: ALBT-USDT,Uniswap V2 (UNI-V2)
0xb6ca52c7916ad7960c12dc489fd93e5af7ca257f,Uniswap V2: eMax 3,Uniswap eMax/ETH LP (UNI-V2)
0x378e0279431db7d255918b8c53b14c1acfd90106,Bancor: Converter 565,
0xf50c51d92aab9afdad0fb935b84aae2dc76ff64b,,ShibaSwap LP Token (SSLP)
0x1ebbed847348c3d407d505d4173bfccee0f0ab80,Uniswap V3: QLT-USDC 2,
0xff2bdf3044c601679dede16f5d4a460b35cebfee,Uniswap V3: POOL,
0x203928ce3316205d7336f6a14c9e916b54848076,Uniswap V2: NFTT 4,Uniswap V2 (UNI-V2)
0x865def2c5aa9edde72c7d2518cf8ca99166d5760,,Unifi LP (uUSDT)
0x847e0b52589c9e6fa2dcc42b8ffb34ec924d4cf8,Uniswap V2: MSHIBA 5,Uniswap V2 (UNI-V2)
0x88a69b4e698a4b090df6cf5bd7b2d47325ad30a3,Nomad Bridge,
0x271544af1f703ac3deb3f12790de83b3b987aa2b,Uniswap V2: FWT 2,Uniswap V2 (UNI-V2)
0x30e7e1989cf774726dd9f4780cab42d5558003e6,Uniswap V2: SAND-SUPER,Uniswap V2 (UNI-V2)
0xf164f7eebf0ad5c1ef2d9a2988cfb2dc4ffdbb1e,Uniswap V3: AWOO,
0xf0fce5d65a42470a314fb440327cf564cca7c9d9,Uniswap V2: RESTAURANTS,Uniswap V2 (UNI-V2)
0x863a34c89cf7b1f3789e707d211948a558a13146,Bancor: Converter 639,
0xbc2c5392b0b841832bec8b9c30747badda7b70ca,Uniswap V2: RENA 3,Uniswap V2 (UNI-V2)
0x97f34c8e5992eb985c5f740e7ee8c7e48a1de76a,SushiSwap: DOUGH,SushiSwap DOUGH/ETH LP (SLP)
0xdf42388059692150d0a9de836e4171c7b9c09cbf,Uniswap V2: KISHIMOTO 5,Uniswap V2 (UNI-V2)
0xad72ab03f1409e40121f339eed893a49e0f7c9fd,,Satoshi Nakamoto (SATOSHI)
0x4f7be8cdd826f20d03a70f8a47b63b2dbd4092fd,Uniswap V2: USDT-NFTY,Uniswap V2 (UNI-V2)
0xdc2c21f1b54ddaf39e944689a8f90cb844135cc9,Uniswap V3: BAL,
0xd343d5dba2fba55eef58189619c05e33cab95ca1,Kyber: DMM WBTC-USDT,KyberDMM LP WBTC-USDT (DMM-LP WB...)
0x3452a7f30a712e415a0674c0341d44ee9d9786f9,Uniswap V2: INDEX,Uniswap INDEX/ETH LP (UNI-V2)
0xdfea03ed1ec53116cd6ea45373cbb6e8823ef59d,Uniswap V2: LGCY 4,Uniswap V2 (UNI-V2)
0x9ce9b30a6ca7c380522a88c85be614a700a7a259,Uniswap V2: HEROS 3,Uniswap V2 (UNI-V2)
0xc2f71bbca8fc4b8f0646bfe49c2514913f51c328,Uniswap V2: WBTC-PEAK,Uniswap V2 (UNI-V2)
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,Uniswap V2: LUNA 3,Uniswap ETH/LUNA LP (UNI-V2)
0xeb4626c5149894022c2066120ea7f20f217995fb,Uniswap V3: ACH,
0xca6de710508bda84fb118d72fac0d920e09ed14a,Bancor: Converter 557,
0xae06088ecb0e668db494ee64ae78af5e5b510797,,ShibaSwap LP Token (SSLP)
0x29cf1ea0a2ccef2b489f67292c5294c5fa59e5d0,SushiSwap: Sunder,SushiSwap LP Token (SLP)
0x51258dc3321983679778047e04f654d1fd81d275,Uniswap V2: MESH,Uniswap ETH/MESH LP (UNI-V2)
0xde2e46992bd4f86471b52f21dac2d7c9f6deac26,Uniswap V2: ZAP,Uniswap ZAP/ETH LP (UNI-V2)
0x5d7b4563f794f52423181c8320cdd3bf8fdf55d7,Uniswap V3: PEOPLE 2,
0x30266f3af0f4317b23b9d9de28fc440b24ae1db9,Uniswap V2: CPTINU 2,Uniswap V2 (UNI-V2)
0x22def8cf4e481417cb014d9dc64975ba12e3a184,SushiSwap: SDT,SushiSwap LP Token (SLP)
0xe4beacc96c6f9261ed93027e67f07f22bebd5650,Uniswap V3: GUMP-PEOPLE,
0x347bec5c6030320d8c8ffa0bdd4318dde240ea6b,Uniswap V2: SQUIDI,Uniswap V2 (UNI-V2)
0xedfc1d77ec9be577f38761f5c738f175e6213da5,SushiSwap: STZ-REVV,SushiSwap LP Token (SLP)
0xc4d9102e36c5063b98010a03c1f7c8bd44c32a00,Uniswap V2: ATRI 4,Uniswap V2 (UNI-V2)
0xfed8e81bd0fba2664e9bd9abfaffb77828f959b7,SushiSwap: SAK3,SushiSwap LP Token (SLP)
0x916560c92f423bf7d20f34591a6b27a254c3bd7a,Uniswap V2: YUP,Uniswap V2 (UNI-V2)
0x110492b31c59716ac47337e616804e3e3adc0b4a,SushiSwap: WBTC-BADGER,SushiSwap WBTC/BADGER LP (SLP)
0x7d611e4cf1c7b94561c4caa5602f329d108336e3,Uniswap V2: SHROOM,Uniswap V2 (UNI-V2)
0x5d62134dbd7d56fae9bc0b7df3788f5f8dade62d,Uniswap V2: POOL-FEI,Uniswap POOL/FEI LP (UNI-V2)
0xa3a7b6f88361f48403514059f1f16c8e78d60eec,Arbitrum: L1 ERC20 Gateway,
0xbb2b8038a1640196fbe3e38816f3e67cba72d940,Uniswap V2: WBTC,Uniswap WBTC/ETH LP (UNI-V2)
0x8e794abe66a4f65c0b6369ceb91af9d50d78fbfa,Uniswap V3: UFO 3,
0x540b9658044acb24a7f32341c6564818176b0f1e,Uniswap V2: HEART 3,Uniswap V2 (UNI-V2)
0xc31c590acfad809d3293f58a1873c182a9643b7e,Uniswap V2: PIKA 4,Uniswap PIKA/ETH LP (UNI-V2)
0x246ae970918958c0e9b02876b2708df4d68cbc2f,Uniswap V2: DT 2,Uniswap V2 (UNI-V2)
0x80ba2de1ced9de57366514d9a797f3e10884ead5,Uniswap V3: MEGA,
0xe5a87890a08c6333acb375d8852128ed413d12ea,Uniswap V2: FREE 15,Uniswap V2 (UNI-V2)
0xa88008543efb1db18922e376db52cd7e2f73648c,SushiSwap: PHTR,SushiSwap LP Token (SLP)
0xe5d6fc7323d74ad440ca53d3e53252427ad632ed,Uniswap V2: BRAINS,Uniswap V2 (UNI-V2)
0x9ccd72368c13a92ea738bd885317c2ba5b667fad,,Uniswap V2 (UNI-V2)
0x47841ec00564a33402f16b876ed148b52dfbe188,Uniswap V3: RADAR,
0x1486f963253b38ff1f13623c5b76245c4beef6e7,Uniswap V2: DRAKO,Uniswap V2 (UNI-V2)
0xfc74ecdee4e9fff2f2ef4cdf4f1c777b2ef0e905,Uniswap V2: SUKU,Uniswap V2 (UNI-V2)
0xdab6d56915d36060c8d6cf29a7a84910da614603,SushiSwap: Metis,SushiSwap LP Token (SLP)
0x3058ef90929cb8180174d74c507176cca6835d73,,DLP_3058ef90 (DLP)
0x4cd36d6f32586177e36179a810595a33163a20bf,Uniswap V2: DAO-USDC,Uniswap V2 (UNI-V2)
0xaa9cd48110ab4f3c1703a9b81faf4d84fe81bbd1,Uniswap V2: GCG,Uniswap V2 (UNI-V2)
0xe6e1f4f9b0303ca3878a110061c0ec9b84fddd03,Uniswap V2: Shiryo-Inu,Uniswap V2 (UNI-V2)
0xe592427a0aece92de3edee1f18e0157c05861564,Uniswap V3: Router,
0xd6ef070951d008f1e6426ad9ca1c4fcf7220ee4d,Uniswap V2: FLX-USDC,Uniswap V2 (UNI-V2)
0x4a504b588ad21e98d7bb3570beb3ed8d83563237,,DEGENSwap-LP (DEGEN-LP)
0xc9919a9eb691f571e41db417f911135b4ac46fe7,Uniswap V2: LSS 8,Uniswap V2 (UNI-V2)
0xce2cc0513634cef3a7c9c257e294ef5e3092f185,Uniswap V2: OGN,Uniswap OGN/ETH LP (UNI-V2)
0x93e1b9bc05ba60b3d57424d45991ed5eeb7b1f28,Uniswap V2: MINE 5,Uniswap V2 (UNI-V2)
0x6cae8e577235eeb56bd7f5114802de80b3b3fbbb,Uniswap V3: UNI-XYO,
0xa295c1301e063728d733f9fb2155448fff9c70b7,Uniswap V3: eXRD,
0x1aed31e03c0a3ff7a6c841f0de45838e09176fd4,,ShibaSwap LP Token (SSLP)
0x3e9b04c0a11fc801335b0c436a3ae3dea0dc2188,Uniswap V2: KOIN,Uniswap V2 (UNI-V2)
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,Uniswap V2: Router 2,
0xfeb93cc0f22b65369348b5b6fd010e2f72090f14,Bancor: Converter 668,
